drug,class_,n,exact_agree,exact_pct,binary_agree,binary_pct,tp,tn,fp,fn,n_resistant_sanger,n_resistant_canu
ATV/r,PI,68,66,97.05882352941177,67,98.52941176470588,2,65,1,0,2,3
DRV/r,PI,68,68,100.0,68,100.0,1,67,0,0,1,1
FPV/r,PI,68,65,95.58823529411765,66,97.05882352941177,2,64,1,1,3,3
IDV/r,PI,68,66,97.05882352941177,67,98.52941176470588,2,65,1,0,2,3
LPV/r,PI,68,66,97.05882352941177,67,98.52941176470588,2,65,1,0,2,3
NFV,PI,68,65,95.58823529411765,66,97.05882352941177,2,64,1,1,3,3
SQV/r,PI,68,66,97.05882352941177,67,98.52941176470588,2,65,1,0,2,3
TPV/r,PI,68,66,97.05882352941177,66,97.05882352941177,2,64,1,1,3,3
ABC,NRTI,68,63,92.64705882352942,64,94.11764705882352,23,41,2,2,25,25
AZT,NRTI,68,66,97.05882352941177,66,97.05882352941177,11,55,0,2,13,11
D4T,NRTI,68,64,94.11764705882352,65,95.58823529411765,10,55,0,3,13,10
DDI,NRTI,68,62,91.17647058823529,64,94.11764705882352,24,40,2,2,26,26
FTC,NRTI,68,64,94.11764705882352,64,94.11764705882352,22,42,2,2,24,24
ISL,NRTI,68,63,92.64705882352942,64,94.11764705882352,23,41,2,2,25,25
3TC,NRTI,68,64,94.11764705882352,64,94.11764705882352,22,42,2,2,24,24
TDF,NRTI,68,64,94.11764705882352,65,95.58823529411765,8,57,1,2,10,9
DOR,NNRTI,68,58,85.29411764705883,59,86.76470588235294,11,48,5,4,15,16
DPV,NNRTI,68,58,85.29411764705883,59,86.76470588235294,21,38,4,5,26,25
EFV,NNRTI,68,59,86.76470588235294,61,89.70588235294117,33,28,3,4,37,36
ETR,NNRTI,68,57,83.82352941176471,59,86.76470588235294,19,40,4,5,24,23
NVP,NNRTI,68,60,88.23529411764706,61,89.70588235294117,33,28,3,4,37,36
RPV,NNRTI,68,57,83.82352941176471,59,86.76470588235294,19,40,4,5,24,23
