bc,category,sanger_muts,canu_muts,shared,sanger_only,canu_only
1,PI Major,0,0,0,0,0
1,PI Accessory,0,0,0,0,0
1,NRTI,0,0,0,0,0
1,NNRTI,2,2,1,1,1
2,PI Major,0,0,0,0,0
2,PI Accessory,0,0,0,0,0
2,NRTI,3,3,3,0,0
2,NNRTI,4,4,4,0,0
3,PI Major,0,0,0,0,0
3,PI Accessory,0,0,0,0,0
3,NRTI,0,0,0,0,0
3,NNRTI,2,2,2,0,0
4,PI Major,0,0,0,0,0
4,PI Accessory,0,0,0,0,0
4,NRTI,0,0,0,0,0
4,NNRTI,0,0,0,0,0
5,PI Major,0,0,0,0,0
5,PI Accessory,0,0,0,0,0
5,NRTI,0,0,0,0,0
5,NNRTI,1,1,0,1,1
6,PI Major,0,0,0,0,0
6,PI Accessory,0,0,0,0,0
6,NRTI,0,0,0,0,0
6,NNRTI,1,1,1,0,0
7,PI Major,0,0,0,0,0
7,PI Accessory,0,0,0,0,0
7,NRTI,0,0,0,0,0
7,NNRTI,0,0,0,0,0
8,PI Major,0,0,0,0,0
8,PI Accessory,0,0,0,0,0
8,NRTI,1,1,1,0,0
8,NNRTI,0,0,0,0,0
10,PI Major,0,0,0,0,0
10,PI Accessory,0,0,0,0,0
10,NRTI,0,0,0,0,0
10,NNRTI,0,0,0,0,0
12,PI Major,0,0,0,0,0
12,PI Accessory,0,0,0,0,0
12,NRTI,0,0,0,0,0
12,NNRTI,1,1,1,0,0
13,PI Major,0,0,0,0,0
13,PI Accessory,0,0,0,0,0
13,NRTI,0,0,0,0,0
13,NNRTI,0,0,0,0,0
14,PI Major,0,0,0,0,0
14,PI Accessory,0,0,0,0,0
14,NRTI,0,0,0,0,0
14,NNRTI,0,0,0,0,0
15,PI Major,0,0,0,0,0
15,PI Accessory,0,0,0,0,0
15,NRTI,0,0,0,0,0
15,NNRTI,0,0,0,0,0
16,PI Major,0,0,0,0,0
16,PI Accessory,0,0,0,0,0
16,NRTI,0,0,0,0,0
16,NNRTI,0,0,0,0,0
17,PI Major,0,0,0,0,0
17,PI Accessory,0,0,0,0,0
17,NRTI,2,2,2,0,0
17,NNRTI,3,3,3,0,0
20,PI Major,0,0,0,0,0
20,PI Accessory,0,0,0,0,0
20,NRTI,0,0,0,0,0
20,NNRTI,0,0,0,0,0
21,PI Major,0,0,0,0,0
21,PI Accessory,0,0,0,0,0
21,NRTI,5,5,5,0,0
21,NNRTI,1,2,1,0,1
29,PI Major,0,0,0,0,0
29,PI Accessory,0,0,0,0,0
29,NRTI,0,0,0,0,0
29,NNRTI,0,0,0,0,0
30,PI Major,0,0,0,0,0
30,PI Accessory,0,0,0,0,0
30,NRTI,0,0,0,0,0
30,NNRTI,0,0,0,0,0
32,PI Major,0,0,0,0,0
32,PI Accessory,0,0,0,0,0
32,NRTI,0,0,0,0,0
32,NNRTI,2,2,2,0,0
33,PI Major,0,0,0,0,0
33,PI Accessory,0,0,0,0,0
33,NRTI,1,1,1,0,0
33,NNRTI,2,2,2,0,0
34,PI Major,0,0,0,0,0
34,PI Accessory,0,0,0,0,0
34,NRTI,5,5,4,1,1
34,NNRTI,1,1,1,0,0
35,PI Major,0,0,0,0,0
35,PI Accessory,0,0,0,0,0
35,NRTI,7,7,7,0,0
35,NNRTI,1,1,1,0,0
36,PI Major,0,0,0,0,0
36,PI Accessory,0,0,0,0,0
36,NRTI,0,0,0,0,0
36,NNRTI,0,0,0,0,0
37,PI Major,0,0,0,0,0
37,PI Accessory,0,0,0,0,0
37,NRTI,1,1,0,1,1
37,NNRTI,1,1,0,1,1
43,PI Major,0,0,0,0,0
43,PI Accessory,0,0,0,0,0
43,NRTI,1,1,1,0,0
43,NNRTI,0,0,0,0,0
44,PI Major,0,0,0,0,0
44,PI Accessory,0,0,0,0,0
44,NRTI,0,0,0,0,0
44,NNRTI,0,0,0,0,0
45,PI Major,0,0,0,0,0
45,PI Accessory,0,0,0,0,0
45,NRTI,0,0,0,0,0
45,NNRTI,1,1,1,0,0
46,PI Major,0,0,0,0,0
