bc,subtype_sanger,subtype_canu,gd_sanger,gd_ont
1,A1,A1,A1,A1
2,A1,A1,A1,A1
3,A1,A1,A1,A1
4,G,G,G,G
5,A1,A1,A1,A1
6,D,B,D,D
7,A1,A1,A1,A1
8,A1,A1,A1,A1
10,A1,A1,A1,A1
12,A1,A1,A1,A1
13,D,D,D,D
14,A1,A1,A1,A1
15,B,B,D,D
16,A1,A1,A1,A1
17,A1,A1,A1,A1
20,D,D,D,D
21,D,D,D,D
29,A1,A1,A1,A1
30,A1,A1,A1,A1
32,A1,A1,A1,A1
33,A1,A1,A1,A1
34,A1,A1,A1,A1
35,A1,A1,A1,A1
36,A1,A1,A1,A1
37,A1,A1,A1,A1
43,D,B,D,D
44,D,D,D,D
45,B,B,A1,A1
46,D,D,D,D
48,A1,A1,A1,A1
49,A1,A1,A1,A1
50,D,B,D,D
53,A1,A1,A1,A1
54,D,D,D,D
55,A1,A1,A1,A1
57,A1,A1,A1,A1
58,A1,A1,A1,A1
59,D,D,D,D
60,A1,A1,A1,A1
61,A1,A1,A1,A1
62,B,B,A1,A1
63,D,D,D,D
66,D,D,D,D
67,D,D,D,D
68,A1,A1,A1,A1
70,A1,A1,A1,A1
71,D,D,D,D
72,A1,A1,A1,A1
73,A1,A1,A1,A1
75,A1,A1,A1,A1
76,A1,A1,A1,A1
78,A1,D,A1,D
81,A1,A1,A1,A1
82,A1,A1,A1,A1
83,A1,A1,A1,A1
84,A1,A1,A1,A1
85,A1,A1,A1,A1
86,A1,A1,A1,A1
87,A1,A1,A1,A1
88,D,D,D,D
89,A1,A1,A1,A1
90,D,D,D,D
91,A1,A1,A1,A1
92,C,C,C,C
93,D,B,D,D
94,D,D,D,D
95,D,D,D,D
96,A1,A1,A1,A1
