mode,sample,label,level_numeric,n_reads,ref_len,n_sites_used,mean_depth,mean_shannon,mean_norm_shannon,mean_pi,n_variable_sites_1pct,n_variable_sites_2pct,n_variable_sites_5pct,n_variable_sites_20pct
percent,barcode01,0p5pct,0.5,193,1130,1128,171.59840425531914,0.06049530589429864,0.008205829629625072,0.017577903329648436,235,74,21,9
percent,barcode01,10pct,10.0,3898,1130,1129,3407.218777679362,0.06789301499014981,0.0058099805279735435,0.01778428472010779,149,65,19,10
percent,barcode01,1pct,1.0,405,1130,1128,352.3723404255319,0.0635309877789607,0.007538265578386462,0.017725413485814943,182,75,20,9
percent,barcode01,20pct,20.0,7909,1130,1129,6923.672276350753,0.06719831175391779,0.005286207133666061,0.0175090616805682,141,63,19,10
percent,barcode01,2pct,2.0,811,1130,1128,710.0567375886525,0.06605771511434429,0.007013595637248238,0.01789602240580743,169,73,20,9
percent,barcode01,40pct,40.0,15704,1130,1129,13742.806023029229,0.06634036348370435,0.004841485347890915,0.0171959980164605,139,57,19,10
percent,barcode01,5pct,5.0,2019,1130,1129,1769.3746678476527,0.06785213959327495,0.006313854456988061,0.017917320525190704,161,73,19,10
percent,barcode02,0p5pct,0.5,96,1158,1129,80.62621789193977,0.07063384715973127,0.011236858447928195,0.023079107038347715,422,172,54,11
percent,barcode02,10pct,10.0,2001,1158,1158,1673.4032815198618,0.0771042991783993,0.007332101339465763,0.021356900434293988,201,114,37,9
percent,barcode02,1pct,1.0,175,1158,1158,145.58031088082902,0.06813474232481224,0.009472116619524028,0.021087313752835353,249,121,43,12
percent,barcode02,20pct,20.0,3953,1158,1158,3301.4119170984454,0.07879851290830797,0.006870162264448256,0.021602827459502406,198,116,35,9
percent,barcode02,2pct,2.0,363,1158,1158,301.8609671848014,0.0799262350854071,0.009753431716979186,0.023616986903466117,239,141,47,10
percent,barcode02,40pct,40.0,7887,1158,1158,6588.529360967184,0.08007387212446798,0.006425849569069934,0.021840570618733752,195,118,34,9
percent,barcode02,5pct,5.0,949,1158,1158,791.8436960276339,0.07486393587487306,0.00783784221057689,0.021142372085438673,191,118,39,9
percent,barcode03,0p5pct,0.5,110,1224,1223,89.12346688470973,0.09397775293155945,0.016252811566178693,0.03229561638459053,376,190,87,21
percent,barcode03,10pct,10.0,2018,1224,1223,1582.4006541291906,0.09380464138487185,0.009519382983422111,0.027705716137574273,273,155,61,16
percent,barcode03,1pct,1.0,212,1224,1223,169.29108748977924,0.09148642083837544,0.013650623553687983,0.02973092231655962,336,157,86,18
percent,barcode03,20pct,20.0,4120,1224,1223,3238.7162714636142,0.09760783533771515,0.008960236467926123,0.028538206529842805,284,154,63,17
percent,barcode03,2pct,2.0,423,1224,1223,336.0163532297629,0.0909333091018223,0.011730203934257907,0.028116863124263394,278,158,60,16
percent,barcode03,40pct,40.0,8262,1224,1223,6491.080948487326,0.09669380982897963,0.00808689346445795,0.0279795860324643,279,146,61,17
percent,barcode03,5pct,5.0,985,1224,1223,771.3131643499592,0.09145887024498404,0.010280671317212097,0.027483810198907596,272,157,60,17
percent,barcode04,0p5pct,0.5,104,1187,1153,85.95143104943625,0.09903281228673579,0.01583877040081584,0.03414101503138191,511,222,86,27
percent,barcode04,10pct,10.0,1867,1187,1186,1489.8785834738617,0.12947797909185688,0.013253809212188317,0.04177781816530923,340,216,107,36
percent,barcode04,1pct,1.0,206,1187,1157,166.92653414001728,0.10620898041675526,0.01523406162527035,0.035313588009605094,373,189,86,30
