mode,sample,label,level_numeric,n_reads_sub,n_reads_orig,n_sites_compared,r_shannon_profile,r_pi_profile,r_minor_af_spectrum,mean_shannon_sub,mean_shannon_orig,delta_mean_shannon,mean_pi_sub,mean_pi_orig,delta_mean_pi,mean_abs_diff_minor_af,n_variable_sites_orig_1pct,n_variable_sites_sub_1pct,variable_site_recall_1pct,variable_site_precision_1pct,n_variable_sites_orig_2pct,n_variable_sites_sub_2pct,variable_site_recall_2pct,variable_site_precision_2pct,n_variable_sites_orig_5pct,n_variable_sites_sub_5pct,variable_site_recall_5pct,variable_site_precision_5pct,n_variable_sites_orig_20pct,n_variable_sites_sub_20pct,variable_site_recall_20pct,variable_site_precision_20pct
percent,barcode01,0p5pct,0.5,193,39457,1128,0.9263775622831054,0.9709825134408876,0.985758685608391,0.06049530589429864,0.06671504452404904,-0.0062197386297504,0.017577903329648436,0.01726492741685958,0.000312975912788855,0.0038039764820902784,136,235,0.875,0.5063829787234042,60,74,0.7333333333333333,0.5945945945945946,19,21,1.0,0.9047619047619048,10,9,0.9,1.0
percent,barcode01,10pct,10.0,3898,39457,1129,0.9956913642823294,0.9984863288337188,0.9994847352659352,0.06789301499014981,0.0666559523676947,0.0012370626224551123,0.01778428472010779,0.0172496351870838,0.0005346495330239912,0.0008006294076584663,136,149,0.9705882352941176,0.8859060402684564,60,65,0.9666666666666667,0.8923076923076924,19,19,1.0,1.0,10,10,1.0,1.0
percent,barcode01,1pct,1.0,405,39457,1128,0.9606962158599553,0.9862998322892373,0.9948328175541327,0.0635309877789607,0.06671504452404904,-0.003184056745088343,0.017725413485814943,0.01726492741685958,0.0004604860689553618,0.00256505535921485,136,182,0.9044117647058824,0.6758241758241759,60,75,0.85,0.68,19,20,1.0,0.95,10,9,0.9,1.0
percent,barcode01,20pct,20.0,7909,39457,1129,0.9980757867420134,0.9993235662348964,0.9997725031495817,0.06719831175391779,0.0666559523676947,0.0005423593862230874,0.0175090616805682,0.0172496351870838,0.0002594264934843993,0.0005313221144637266,136,141,0.9705882352941176,0.9361702127659575,60,63,0.95,0.9047619047619048,19,19,1.0,1.0,10,10,1.0,1.0
percent,barcode01,2pct,2.0,811,39457,1128,0.9767995501261846,0.9915831611628975,0.9968984910520119,0.06605771511434429,0.06671504452404904,-0.0006573294097047544,0.01789602240580743,0.01726492741685958,0.0006310949889478494,0.001906322125732544,136,169,0.9558823529411765,0.7692307692307693,60,73,0.9,0.7397260273972602,19,20,1.0,0.95,10,9,0.9,1.0
percent,barcode01,40pct,40.0,15704,39457,1129,0.9992721788954001,0.9997590832761838,0.9999193531710839,0.06634036348370435,0.0666559523676947,-0.0003155888839903448,0.0171959980164605,0.0172496351870838,-5.363717062329895e-05,0.0003211245413811641,136,139,0.9852941176470589,0.9640287769784173,60,57,0.9166666666666666,0.9649122807017544,19,19,1.0,1.0,10,10,1.0,1.0
percent,barcode01,5pct,5.0,2019,39457,1129,0.9908705884240953,0.9967609870021468,0.9986665569279939,0.06785213959327495,0.0666559523676947,0.0011961872255802503,0.017917320525190704,0.0172496351870838,0.0006676853381069048,0.0012170315593933838,136,161,0.9632352941176471,0.8136645962732919,60,73,0.95,0.7808219178082192,19,19,1.0,1.0,10,10,1.0,1.0
percent,barcode02,0p5pct,0.5,96,19999,1129,0.8919299654672294,0.9308779155110809,0.9473615892908405,0.07063384715973127,0.07940776831781152,-0.008773921158080247,0.023079107038347715,0.021509621400560633,0.0015694856377870825,0.00684460996559209,182,422,0.9065934065934066,0.3909952606635071,106,172,0.8584905660377359,0.5290697674418605,32,54,0.9375,0.5555555555555556,9,11,1.0,0.8181818181818182
percent,barcode02,10pct,10.0,2001,19999,1158,0.9833326985334148,0.9918459390064166,0.9954998796963312,0.0771042991783993,0.07956064425303051,-0.0024563450746312165,0.021356900434293988,0.021527663429857447,-0.00017076299556345945,0.0014615326108717982,188,201,0.9308510638297872,0.8706467661691543,109,114,0.944954128440367,0.9035087719298246,33,37,0.9696969696969697,0.8648648648648649,9,9,1.0,1.0
percent,barcode02,1pct,1.0,175,19999,1158,0.9230047751713155,0.9567145150313674,0.9709404904016126,0.06813474232481224,0.07956064425303051,-0.011425901928218268,0.021087313752835353,0.021527663429857447,-0.00044034967702209424,0.00491625750486124,188,249,0.8138297872340425,0.6144578313253012,109,121,0.8073394495412844,0.7272727272727273,33,43,0.8787878787878788,0.6744186046511628,9,12,1.0,0.75
