level,level_numeric,sample,drug,drug_class,orig_score,orig_level,sub_score,sub_level,direction
0.5,0.5,barcode07,ATV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode29,ATV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode53,ATV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode73,ATV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode78,ATV/r,PI,130,5,NA,NA,no_call
0.5,0.5,barcode83,ATV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode89,ATV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode90,ATV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode91,ATV/r,PI,15,3,NA,NA,no_call
0.5,0.5,barcode07,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode29,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode53,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode73,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode78,DRV/r,PI,-10,1,NA,NA,no_call
0.5,0.5,barcode83,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode89,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode90,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode91,DRV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode07,FPV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode29,FPV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode53,FPV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode73,FPV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode78,FPV/r,PI,60,5,NA,NA,no_call
0.5,0.5,barcode83,FPV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode89,FPV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode90,FPV/r,PI,0,1,NA,NA,no_call
0.5,0.5,barcode91,FPV/r,PI,10,2,NA,NA,no_call
0.5,0.5,barcode07,IDV/r,PI,0,1,NA,NA,no_call
