level,level_numeric,category,orig_total,sub_total,shared,orig_only,sub_only,recall,precision
0.5,0.5,PI Major,8,3,3,5,0,0.375,1.0
0.5,0.5,PI Accessory,4,2,2,2,0,0.5,1.0
0.5,0.5,NRTI,72,63,62,10,1,0.8611111111111112,0.9841269841269841
0.5,0.5,NNRTI,69,61,59,10,2,0.855072463768116,0.9672131147540983
1,1.0,PI Major,8,7,3,5,4,0.375,0.42857142857142855
1,1.0,PI Accessory,4,4,4,0,0,1.0,1.0
1,1.0,NRTI,72,71,67,5,4,0.9305555555555556,0.9436619718309859
1,1.0,NNRTI,69,65,65,4,0,0.9420289855072463,1.0
2,2.0,PI Major,8,8,6,2,2,0.75,0.75
2,2.0,PI Accessory,4,4,3,1,1,0.75,0.75
2,2.0,NRTI,72,72,70,2,2,0.9722222222222222,0.9722222222222222
2,2.0,NNRTI,69,68,68,1,0,0.9855072463768116,1.0
5,5.0,PI Major,8,8,6,2,2,0.75,0.75
5,5.0,PI Accessory,4,4,3,1,1,0.75,0.75
5,5.0,NRTI,72,72,72,0,0,1.0,1.0
5,5.0,NNRTI,69,69,69,0,0,1.0,1.0
10,10.0,PI Major,8,8,7,1,1,0.875,0.875
10,10.0,PI Accessory,4,4,4,0,0,1.0,1.0
10,10.0,NRTI,72,72,72,0,0,1.0,1.0
10,10.0,NNRTI,69,69,69,0,0,1.0,1.0
20,20.0,PI Major,8,8,7,1,1,0.875,0.875
20,20.0,PI Accessory,4,4,4,0,0,1.0,1.0
20,20.0,NRTI,72,72,72,0,0,1.0,1.0
20,20.0,NNRTI,69,69,69,0,0,1.0,1.0
40,40.0,PI Major,8,8,6,2,2,0.75,0.75
40,40.0,PI Accessory,4,4,4,0,0,1.0,1.0
40,40.0,NRTI,72,72,71,1,1,0.9861111111111112,0.9861111111111112
40,40.0,NNRTI,69,69,68,1,1,0.9855072463768116,0.9855072463768116
