level,level_numeric,category,orig_total,sub_total,shared,orig_only,sub_only,recall,precision
0.5,0.5,PI SDRMs,10,4,4,6,0,0.4,1.0
0.5,0.5,NRTI SDRMs,59,51,51,8,0,0.864406779661017,1.0
0.5,0.5,NNRTI SDRMs,44,39,39,5,0,0.8863636363636364,1.0
1,1.0,PI SDRMs,10,9,9,1,0,0.9,1.0
1,1.0,NRTI SDRMs,59,58,58,1,0,0.9830508474576272,1.0
1,1.0,NNRTI SDRMs,44,42,42,2,0,0.9545454545454546,1.0
2,2.0,PI SDRMs,10,10,10,0,0,1.0,1.0
2,2.0,NRTI SDRMs,59,59,59,0,0,1.0,1.0
2,2.0,NNRTI SDRMs,44,44,44,0,0,1.0,1.0
5,5.0,PI SDRMs,10,10,10,0,0,1.0,1.0
5,5.0,NRTI SDRMs,59,59,59,0,0,1.0,1.0
5,5.0,NNRTI SDRMs,44,44,44,0,0,1.0,1.0
10,10.0,PI SDRMs,10,10,10,0,0,1.0,1.0
10,10.0,NRTI SDRMs,59,59,59,0,0,1.0,1.0
10,10.0,NNRTI SDRMs,44,44,44,0,0,1.0,1.0
20,20.0,PI SDRMs,10,10,10,0,0,1.0,1.0
20,20.0,NRTI SDRMs,59,59,59,0,0,1.0,1.0
20,20.0,NNRTI SDRMs,44,44,44,0,0,1.0,1.0
40,40.0,PI SDRMs,10,10,10,0,0,1.0,1.0
40,40.0,NRTI SDRMs,59,59,59,0,0,1.0,1.0
40,40.0,NNRTI SDRMs,44,44,44,0,0,1.0,1.0
